Anime,Character,Role,Favorites,char_url
Great Teacher Onizuka,"Yoshikawa, Noboru",Main,52,https://myanimelist.net/character/5947/Noboru_Yoshikawa
"""Oshi no Ko"" 2nd Season","Arima, Kana",Main,7770,https://myanimelist.net/character/188038/Kana_Arima
"""Oshi no Ko"" 2nd Season","Hoshino, Aquamarine",Main,4924,https://myanimelist.net/character/185313/Aquamarine_Hoshino
"""Oshi no Ko"" 2nd Season","Kurokawa, Akane",Main,4590,https://myanimelist.net/character/195178/Akane_Kurokawa
Hajime no Ippo: New Challenger,"Itagaki, Manabu",Main,51,https://myanimelist.net/character/5184/Manabu_Itagaki
Howl no Ugoku Shiro,"Hatter, Sophie",Main,1481,https://myanimelist.net/character/508/Sophie_Hatter
Howl no Ugoku Shiro,Howl,Main,12662,https://myanimelist.net/character/507/Howl
Haikyuu!! Movie: Gomisuteba no Kessen,"Kozume, Kenma",Main,10917,https://myanimelist.net/character/71267/Kenma_Kozume
Mononoke Hime,Ashitaka,Main,1968,https://myanimelist.net/character/2802/Ashitaka
Mononoke Hime,San,Main,3271,https://myanimelist.net/character/2727/San
Odd Taxi,"Odokawa, Hiroshi",Main,1342,https://myanimelist.net/character/191215/Hiroshi_Odokawa
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,"Greyrat, Rudeus",Main,9818,https://myanimelist.net/character/111245/Rudeus_Greyrat
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,"Greyrat, Eris Boreas",Main,6060,https://myanimelist.net/character/111335/Eris_Boreas_Greyrat
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,"Superdia, Ruijerd",Main,723,https://myanimelist.net/character/111739/Ruijerd_Superdia
Fate/stay night Movie: Heaven's Feel - III. Spring Song,"Emiya, Shirou",Main,6714,https://myanimelist.net/character/496/Shirou_Emiya
Fate/stay night Movie: Heaven's Feel - III. Spring Song,"Kotomine, Kirei",Main,4685,https://myanimelist.net/character/506/Kirei_Kotomine
Fate/stay night Movie: Heaven's Feel - III. Spring Song,"Matou, Sakura",Main,4273,https://myanimelist.net/character/500/Sakura_Matou
Fate/stay night Movie: Heaven's Feel - III. Spring Song,Rider,Main,1603,https://myanimelist.net/character/502/Rider
Fate/stay night Movie: Heaven's Feel - III. Spring Song,"Toosaka, Rin",Main,24558,https://myanimelist.net/character/498/Rin_Toosaka
Fate/stay night Movie: Heaven's Feel - III. Spring Song,"von Einzbern, Illyasviel",Main,4461,https://myanimelist.net/character/503/Illyasviel_von_Einzbern
Bungou Stray Dogs 5th Season,"Dazai, Osamu",Main,35589,https://myanimelist.net/character/125056/Osamu_Dazai
Bungou Stray Dogs 5th Season,"Nakajima, Atsushi",Main,2800,https://myanimelist.net/character/125055/Atsushi_Nakajima
Shigatsu wa Kimi no Uso,"Arima, Kousei",Main,8334,https://myanimelist.net/character/69407/Kousei_Arima
Shigatsu wa Kimi no Uso,"Miyazono, Kaori",Main,24897,https://myanimelist.net/character/69411/Kaori_Miyazono
Shigatsu wa Kimi no Uso,"Sawabe, Tsubaki",Main,1718,https://myanimelist.net/character/69409/Tsubaki_Sawabe
